icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
BIAR,20.0,15.0,75.0,0.0,0.0,300.0,300.0,726.4,735.0,783.0,959.5,1081.3999999999999,-3.6046666666666667,-3.1983333333333333,-2.61,-2.45,-2.4213333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,1081.3999999999999,100.0,0.0,75.0,0.0,0.0,24.0,19.0,79.16666666666667,0.0,0.0,,,-1431.2,-1374.5,-1277.0,-1196.5,-1136.2,,,,,,,,,,,,,,,,1277.0,1431.1999999999998,100.0,,79.16666666666667,0.0,0.0,0.0,nm_inferred,24.0,77.08333333333334,,Akureyri International Airport,65.656573,-18.072018
BIBD,4.0,4.0,100.0,0.0,0.0,600.0,600.0,306.2,312.5,327.0,338.75,340.1,-0.5668333333333333,-0.5645833333333333,-0.5449999999999999,-0.5208333333333333,-0.5103333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,340.1,100.0,0.0,100.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,,,-402.9,-395.25,-387.0,-382.5,-381.6,,,,,,,,,,,,,,,,387.0,402.9,100.0,,100.0,0.0,0.0,0.0,nm_inferred,4.0,100.0,,Bildudalur Airport,65.641296,-23.5462
BIEG,7.0,7.0,100.0,0.0,0.0,300.0,300.0,1294.8,1346.5,1512.0,1610.0,1703.8,-5.679333333333333,-5.366666666666667,-5.04,-4.488333333333333,-4.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.0,1703.8,100.0,0.0,100.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,,,-1837.0,-1802.5,-1595.0,-1536.0,-1468.0,,,,,,,,,,,,,,,,1595.0,1837.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,7.0,100.0,,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
BIGJ,1.0,1.0,100.0,0.0,0.0,600.0,600.0,978.0,978.0,978.0,978.0,978.0,-1.63,-1.63,-1.63,-1.63,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,978.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,-1205.0,-1205.0,-1205.0,-1205.0,-1205.0,,,,,,,,,,,,,,,,1205.0,1205.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Gjögur Airport,65.9953,-21.3269
BIGR,3.0,0.0,0.0,0.0,0.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,3.0,0.0,,Grímsey Airport,66.5458,-18.0173
BIHN,1.0,1.0,100.0,0.0,0.0,300.0,300.0,1986.0,1986.0,1986.0,1986.0,1986.0,-6.62,-6.62,-6.62,-6.62,-6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,1986.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,-1764.0,-1764.0,-1764.0,-1764.0,-1764.0,,,,,,,,,,,,,,,,1764.0,1764.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Hornafjörður Airport,64.295601,-15.2272
BIIS,5.0,5.0,100.0,0.0,0.0,600.0,600.0,749.4,753.0,765.0,793.0,901.0,-1.5016666666666667,-1.3216666666666668,-1.275,-1.255,-1.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,901.0,100.0,0.0,100.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,,,-1290.0,-1263.0,-1238.0,-1224.0,-1131.6,,,,,,,,,,,,,,,,1238.0,1290.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,5.0,100.0,,Ísafjörður Airport,66.058098,-23.1353
BIKF,296.0,295.0,99.66216216216216,0.0,0.0,600.0,600.0,-35.8,5.5,4525.0,5210.0,5527.0,-9.211666666666666,-8.683333333333334,-7.541666666666667,-0.009166666666666667,0.05966666666666678,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.008333333333333333,0.05,4525.0,5527.0,79.32203389830508,0.0,35.472972972972975,64.1891891891892,0.0,294.0,293.0,99.65986394557824,0.0,0.0,,,-6228.6,-5891.0,-5247.0,-14.0,10.600000000000023,,,,,,,,,,,,,,,,5247.0,6228.6,83.95904436860069,,35.714285714285715,63.945578231292515,0.0,0.0,nm_inferred,296.0,99.66101305387019,,Keflavik International Airport,63.985001,-22.6056
BIRK,38.0,38.0,100.0,0.0,0.0,300.0,280.5,-106.6,-97.0,-19.5,-4.25,5.200000000000017,-0.017333333333333333,0.014166666666666668,0.065,0.32333333333333336,0.35533333333333333,0.0,0.1,0.1,0.4,0.4,0.0,0.020833333333333332,0.06666666666666667,0.24166666666666667,0.2716666666666667,20.0,110.40000000000003,18.42105263157895,0.0,97.36842105263158,2.6315789473684212,0.0,34.0,34.0,100.0,0.0,0.0,,,-6.3999999999999995,7.0,30.0,69.0,97.19999999999999,,,,,,,,,,,,,,,,30.0,97.19999999999999,17.647058823529413,,97.05882352941177,2.9411764705882355,0.0,0.0,nm_inferred,38.0,100.0,,Reykjavík Domestic Airport,64.128732,-21.93759
BITN,2.0,0.0,0.0,0.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,2.0,0.0,,Þórshöfn Airport,66.218459,-15.334739
