icao,name,lat,lon
GB-0948,West Bergholt Airstrip,51.917882,0.860329
GB-1310,Dovesdale Farm,55.69538,-3.956622
GR-0101,Volos Army Airport,39.3838996887,22.9174003601
IT-0272,Costa d'Argento Airfield,42.495327,11.239424
IT-0314,Campo di Volo Montefalco,42.885358,12.693324
IT-0371,Ca' Quinta di Sarego Airfield,45.432833,11.383333
IT-0500,Aviosuperficie La Smeraldina,41.05793,9.433446
IT-0561,Santa Chiara Airfield,40.320012,17.812786
IT-0798,Grillo Casa Airfield,43.32607,11.56251
IT-0871,Elisuperficie privata,46.053358,8.263977
IT-0923,[Duplicate] Elisuperficie di Ceresole Reale,45.433139,7.230334
LDPV,Vrsar Crljenka Airfield,45.141701,13.6306
LFKB,Bastia-Poretta International airport,42.5527,9.48373
LFPG,Charles de Gaulle International Airport,49.00896,2.554117
LGSO,Syros Airport,37.4227981567,24.9508991241
LIML,Milano Linate Airport,45.445099,9.27674
LKCR,Chrudim Airfield,49.936401,15.7806
LKRK,Rakovnik Airfield,50.0942,13.6889
LY-0010,Fidda Oilfield Airport,28.94671,17.27365
LZPT,Male Bielice-Partizánske Airfield,48.619202,18.3297
OLKA,Rene Mouawad Air Base,34.589298,36.011299
PT-0022,Aerodromo do Cerval UL,41.972958,-8.673806
PT-0062,Aerodromo da Palma UL,38.514292,-8.575752
PT-0084,Pista da Adiça,38.062757,-7.268711
RO-0144,Mangalia Municipal Hospital Helipad,43.819395,28.588336
RU-0429,Morozovo Airstrip,55.3806464897,38.3715963364
RU-0442,Kashkarantsy Airstrip,66.3454,36.027
RU-0770,Manturovo Airfield,58.36749,44.7957
RU-10111,Kharlov Island Heliport,68.8152,37.331746
RU-10112,Ostrovnoy Heliport,68.076371,39.45939
RU-10155,Shchapovo Heliport,55.376744,37.397676
SA-0098,Helicopter Emergency Landing Zone No. 7,28.120761,35.233369
SE-0006,Alvesta Smålanda Airfield,56.925822,14.542294
SE-0009,Långtora Airfield,59.747445,17.145188
ULAA,Talagi Airport,64.60030364990234,40.71670150756836
BG-0136,Galabovo Cropduster Strip,42.15686,25.81133
BG-0172,Podem Airstrip,43.547478,24.592363
CY-0009,Famagusta General Hospital Helipad,35.061798,33.972145
CY-0062,Gürpınar Helipad,35.223416,33.124436
CZ-0285,Rabi Airfield,49.275146,13.627812
DE-0093,Unterwössen Airfield,47.72974,12.4382
DE-0172,Bergheim Airfield,50.9772,6.6085
DE-0613,Jena University Hospital Heliport,50.88672,11.61895
EDFC,Aschaffenburg Airfield,49.938806,9.062777
EG-0011,El Arish Military Hospital Helipad,31.144695,33.827079
EG-0070,RAF El Amiriya,31.031976,29.799986
ENQO,Oseberg South Helideck,60.389702,2.795556
ENRT,"Trondheim Heliport, Rosten",63.368133,10.374015
ENXL,Eldfisk A Platform,56.3760986328125,3.264440059661865
ES-0205,Castejón de Sos Airfield,42.522468,0.481114
ETHE,Rheine-Bentlage Airfield,52.291199,7.387
EYVI,Vilnius International Airport,54.634102,25.285801
FR-0155,Grand Couronne Heliport,49.3502311706543,0.9805819988250732
FR-0242,Saint-Rémy-de-Maurienne Airfield,45.376718,6.27692
FR-0335,Doucier Airfield,46.663693,5.761492
FR-0666,Jayet Gannat Airfield,46.07082,3.19923
FR-0744,Saint-Pierre-de-Chevillé Airfield,47.633333,0.452222
FR-0842,Hoeville Airfield,48.715,6.438611
FR-0908,Saint Affrique les Montagnes Airfield,43.544722,2.211389
FR-1054,Saint-Cyr-la-Campagne Airfield,49.253056,1.028611
GB-0015,Brent Tor Glider Field,50.5925,-4.145278
GB-0082,RAF Methwold / Waylands Airfield,52.511938,0.548801
GB-0526,North Moreton Airstrip,51.600467,-1.182359
GB-0621,Tongham Airstrip,51.227645,-0.728329
GB-0843,Westacott Farm Airstrip,50.8488,-3.8699
GB-0860,Kimberley Hall Airstrip,52.59823,1.09269
GB-0906,Netherley Private Airstrip,57.05228,-2.2652
GB-0982,Ginge Farm Airstrip,51.569481,-1.344409
GMAA,Inezgane Airport,30.381399,-9.54631
GR-0020,Serres Emmanuel Pappas Airfield,41.083282,23.589499
GR-0096,Agrinion Air Base,38.602001,21.3512
IQ-0007,An Numaniyah Air Base,32.504356,45.33306
IT-0051,Cumiana Airfield,44.939043,7.428925
IT-0065,Il Laghetto Airfield,44.777885,8.13034
IT-0203,Rovigo Airfield,45.031167,11.823667
IT-0586,Elisuperficie Ceraso,40.938208,16.495076
IT-0603,Eliporto militare marina italiana,40.515606,17.408025
IT-0802,Vicenza Airport,45.573399,11.5295
IT-0887,Elisuperficie Michob,45.841432,7.944344
LEME,S'Arangi Heliport,39.968221,4.093734
LFQG,Nevers-Fourchambault Airport,47.002913,3.113114
LOWW,Vienna International Airport,48.110298,16.5697
LPSA,Salemas Heliport,38.875,-9.195
NO-0083,Skarva Airfield,63.845275,11.344714
OICS,Sanandaj Airport,35.24589920043945,47.00920104980469
OITU,Maku National Airport,39.191293,44.928505
ORUB,Ubaydah Bin Al Jarrah Airport,32.481998,45.757099
PL-0251,Zielone Zacisze Airfield,50.37751,16.54321
PT-0015,Loule heliport,37.131523,-8.033168
RO-0058,Casa Teo Airstrip,45.02052,25.855951
RU-0010,Balashov Air Base,51.531687,43.301718
RU-0240,Seshcha Air Base,53.715258,33.339083
RU-0277,Rzhevka Heliport,59.979235882,30.575825572
RU-0503,Vtorovo Airport,56.254781,40.811732
SE-0060,Kvarnhem Flygfält,55.80065,13.6221
SK-0059,Kalša Airstrip,48.624655,21.506477
TR-0068,Acibadem Adana Hospital Helipad,36.99531,35.31486
UA-0034,Lymanske Airfield,46.668998,30.011105
UA-0169,Vesele Airfield,47.0369,34.91204
AT-0038,Bad Kleinkircheim Heliport,46.811943054199,13.783888816833
BE-0043,Kuurne Heliport,50.85842,3.255642
BG-0093,Lozenets University Hospital Heliport,42.663,23.31149
BY-0003,Bobrovichi Air Base,52.278301,29.360001
CH-0025,Herisau Hospital Heliport,47.38765,9.28314
CH-0043,Turtmann Air Base,46.304339,7.712708
CY-0012,UNFICYP OP08 Heliport,35.177331,32.700825
CY-0058,K.A.A.Y. Kitiou Helipad,34.862267,33.63261
DE-0019,Frankfurt am Main Accident Hospital Ground Helipad,50.1441,8.7096
DE-0378,Schlierstadt-Seligenberg Airfield,49.443554,9.361944
DE-0543,Amsterdam Street Children's Hospital Heliport,50.96237,6.9669
DE-0793,Fichtelgebirge Hospital Selb Heliport,50.16957,12.11761
EBCV,Chièvres Air Base,50.575802,3.831
EDDK,Cologne Bonn Airport,50.865898,7.14274
EDQT,Haßfurt-Schweinfurt Airfield,50.0182,10.529165
EDXA,Flugplatz Achmer,52.37722,7.913333
EFHM,Hämeenkyrö Airfield,61.689701,23.0737
EG-0001,Al Rahmaniyah Air Base,31.043742,30.664859
EGLK,Blackbushe Airport,51.323898,-0.8475
EGMA,Fowlmere Airfield,52.077499,0.061667
EGVA,RAF Fairford,51.683568,-1.789172
EIBA,Ballyboughal Aerodrome,53.505556,-6.237778
EKHV,Haderslev Airfield,55.301829,9.524503
ES-0230,Sotillo de la Andrada,41.27115,-3.63005
ESGD,Bämmelshed Airfield,58.192146,13.998156
FR-0244,Societe des Eaux Minerales D'Evian Heliport,46.39083480834961,6.511943817138672
FR-0420,Valberg Altisurface,44.106418,6.939904
FR-0486,Lac Fourchu Airfield,45.058056,5.933056
FR-1007,Thèmes Ultralight Club Airfield,43.311479,6.127081
GB-0185,Wadswick Farm Airstrip,51.411085,-2.220385
GB-0592,Wentworth Private Airstrip,53.475545,-1.42101
GB-0700,Northfield Farm Airstrip,53.1848,0.0263
GB-0754,Easter Nether Cabra Farm Airstrip,57.560563,-2.0301
GB-0867,Kylarrick House Airstrip,57.817058,-4.174075
GB-1146,Compton Chamberlayne Airstrip,51.060545,-1.965385
GR-0035,Ios Heliport,36.71758,25.27169
HEAT,Asyut International Airport,27.045962,31.01276
HLTQ,Tobruk International Airport,31.861,23.907
IE-0058,Citywest Heliport,53.2856,-6.4456
IT-0482,Campo di Volo Carzeto,44.96,10.1838889
IT-0595,Bari Hospital Heliport,41.112923,16.85809
IT-0793,Gh. del Léchaud,45.731861,6.816234
LECD,La Cerdanya Airfield,42.386398,1.86667
LEHE,Helicsa Heliport,39.071106,-1.834567
LEHJ,Hospital Universitario Joan XXIII Heliport,41.1255989074707,1.23812997341156
LEOC,Ocaña Airfield,39.9375,-3.50333
LFAK,Dunkerque-Les Moëres Airfield,51.039559,2.549129
LFMF,Fayence-Tourrettes Airfield,43.609576,6.697369
LHBF,Bükfördö Airfield,47.3848,16.80264
LHTA,Taszár Air Base,46.393101,17.9175
LIPH,Treviso Airport,45.648399,12.1944
LOXA,Fiala-Fernbrugg Air Base,47.53573,14.141488
NL-0045,Eindhoven Heliport,51.423731,5.47449
PL-0100,Śmiłowo Henryk Stokłosa Airfield,53.144961,16.882682
PL-0212,Ręczaje Airstrip,52.319791,21.324851
PL-0221,Metelin Airstrip,50.74542,23.83732
RO-0112,Cotroceni Airfield,44.43,26.05
RS-0008,Kozhirsko Polje Sport Airport,43.563455,21.33626
RU-0237,Kozelsk Heliport,54.054,35.757
RU-0286,Temryuk Heliport,45.302121,37.321115
RU-10059,Dyagilevo Air Base,54.642284,39.569047
RU-10099,Gagarin Aerodrome,55.6371,34.828751
RU-1063,Zvanets Heliport,59.159416,36.031616
SE-0107,Grönhögen Airport,56.275002,16.42
SK-0081,Vranov nad Topľou Airstrip,48.86856,21.6768
SK-0086,Kľačany Airfield,48.40804,17.87638
SY-0039,Zelaf,32.919605,37.335934
UA-0008,Chortkiv Air Base,48.97800064086914,25.742000579833984
UA-0042,Voznesensk Air Base,47.509998,31.254999
UUBW,Zhukovsky International Airport,55.553299,38.150002
AL-0012,Gjirokastër Airfield,40.087301,20.152302
BE-0010,Lint Heliport,51.136231,4.478994
BE-0026,Federal Road Police Brecht Heliport,51.35213,4.63124
BG-0088,Omarchevo Airstrip,42.46799,26.144074
CZ-0017,Krnov Hospital Heliport,50.096984,17.685183
CZ-0087,Charvátce Airfield,50.433427,13.811113
CZ-0269,Tábor Všechov Air Base,49.437801,14.6217
DE-0075,Ohlstadt Airfield,47.65869,11.23507
DE-0088,Hersbruck Airfield,49.50753,11.4438
DE-0207,Radevormwald-Leye Glider Field,51.216437,7.382147
DZ-0028,Oued Zine Airport,28.141556,0.244846
EDBT,Allstedt Airfield,51.380554,11.446667
EDCR,Rerik-Zweedorf Airfield,54.081944,11.649167
EDCX,Purkshof Airfield,54.161667,12.248611
EFEK,Kilpisjärvi Heliport,69.0022201538086,20.89638900756836
EG-0023,Helipads (4x) runway,27.056642,27.991662
EHPK,P15-ACD (Rijn-C) Heliport,52.29028,3.81611
EKSN,Sindal Airport,57.503502,10.2294
EPOP,Opole-Polska Nowa Wieś Airfield,50.633301,17.7817
EPSW,Świdnik Airfield,51.231899,22.6903
ES-0246,Camarinal Helicopter Base,36.082422,-5.796723
ESMZ,Ölanda Airfield,57.328236,17.050524
FR-0099,Narbonne St Crescent Centre Hospitalier Heliport,43.172791,2.994568
FR-0368,Buzet sur Tarn Aerodrome,43.768147,1.60426
FR-0655,Tartas Airfield,43.829722,-0.763056
FR-0742,Les Avant Gardes Airfield,47.813056,2.235278
FR-0760,Lac du Der Seaplane Base,48.566667,4.73
FR-1111,Crête de Brouffiers Altisurface,45.03779,5.87979
FR-1225,Arques,50.734363,2.3329
GB-0737,Ash House Farm Airstrip,53.1669,-2.56666
GB-0976,Hall Farm Airstrip,52.05445,-0.96432
GB-0989,Witherenden Airstrip,51.00694,0.35273
GB-1021,RAF Tain,57.8115,-3.97394
GB-1217,Scatsta Airport,60.4328,-1.29611
GB-1299,Crosshouse University Hospital,55.613234,-4.544758
GB-1318,Cumberland Infirmary Helipad,54.897288,-2.960531
HU-0042,Pusztaszer West Airfield,46.546667,19.96
IQ-0026,K1 Air Base,35.51319122314453,44.28362655639648
IT-0898,Elisuperficie di Alpe Quaggione,45.907902,8.386704
LBMD,Dinevi Marina Helipad,42.706448,27.766361
LFCG,Aérodrome de Saint-Girons - Antichan,43.007801,1.10315
LFPU,Moret-Episy Airfield,48.34119,2.798517
LFRM,Le Mans-Arnage Airport,47.948604,0.201702
NL-0087,Nij Smellinghe Hospital Heliport,53.099661,6.112386
NO-0055,Suldal Heliport,59.483614,6.272332
PL-0146,Natolin Airfield,51.016239,18.754739
PL-0234,Szczodrkowice Private Airstrip,50.18897,19.89162
PT-0035,Aeródromo de Seia,40.453186,-7.692059
RU-0478,Otkritie Arena Heliport,55.815467,37.441405
RU-0746,Slavyanka Heliport,51.83647,46.31833
RU-10008,Tushino Airport,55.818333,37.426666
TR-0125,Tekirdağ İsmail Fehmi Cumalıoğlu City Hospital Heliport,41.00903,27.52396
UUMY,Ozery Airport,54.815239,38.629275
XRMU,Khankala Air Base,43.2981,45.7841
DE-0086,Greiling Airfield,47.7654,11.59546
DE-0334,Sinsheim Airfield,49.2472,8.8938
DE-0621,Helios Clinic Meiningen Heliport,50.55709,10.39894
DE-0661,Marienhaus Hospital Sankt Wendel-Ottweiler Heliport,49.45445,7.17959
DK-0052,Korsør Helipad,55.35425,11.1243
EDBP,Pinnow Airfield,53.615276,11.561111
EDBW,Werneuchen Airfield,52.631668,13.766944
EGKA,Brighton City Airport,50.835602,-0.297222
EPAR,Arłamów Airfield,49.657501,22.514298
EPBC,Warsaw Babice Airport,52.269199,20.907203
ES-0346,Marroxo Heliport,42.47302,-7.50139
ESKS,Scandinavian Mountains Airport,61.16508,12.83352
FR-0282,Altisurface de l'Hippopotame,42.473988,2.049004
FR-0861,Dragey Airfield,48.705278,-1.493889
FR-1009,Pourrières Airfield,43.48,5.710278
FR-1151,Le Blanc Centre Hospitalier Heliport,46.633931,1.058829
FR-1316,ROYE DZ,49.698006,2.801428
GB-0073,Hinton-in-the-Hedges Airfield,52.028717,-1.207157
GB-0117,RAF Bibury,51.781389,-1.836111
GB-0140,Brooklands Aerodrome,51.348595,-0.470326
GB-1195,RAF Wigsley,53.2149,-0.72863
GB-1196,RAF Harrington,52.39319,-0.86157
GB-1235,RAF West Freugh,54.8511,-4.94778
GB-1240,Bourn Airfield,52.216451,-0.040103
HU-0024,Pusztaszer Airfield,46.57687,19.99022
IE-0025,The Forge Airstrip,52.81052,-8.13732
IQ-0046,Samarra West Air Field,34.30631256103516,43.25982666015625
IT-0376,Montebelluna Airfield,45.748181,12.057152
IT-0380,Ulcor Airfield,39.9787,8.6792
IT-0390,Delta Top Pegaso Airfield,42.224206,11.7948
IT-0407,Fly Evolution Flying Field,45.981982,13.306923
IT-0696,Heliport la Sunrisa,40.714484,14.526114
IT-0777,Campo Volo Trens,46.873657,11.472973
LEVC,Valencia Airport,39.489162,-0.480961
LFBI,Poitiers-Biard Airport,46.5877,0.306666
LFGE,Avallon Airfield,47.50377,3.901034
LFLY,Lyon Bron Airport,45.727947,4.943991
LFMI,Istres-Le Tubé Air Base,43.522701,4.92384
LFXB,Saintes Thénac Airfield,45.7019,-0.636111
LHGD,Gödöllő Airfield,47.571662,19.336796
NL-0072,Breskens Airfield,51.39278,3.53917
NL-0140,Q10-A Heliport,52.49639,4.21583
RO-0003,Aerodrom Fratauti,47.885278,25.899167
RO-0173,Siret Heliport,47.948075,26.066893
RU-0153,Komendantskiy Airfield,59.99700164794922,30.290000915527344
RU-0431,Opalikha Traffic Safety Helipad,56.195311,44.120718
SE-0036,Suddesjaur,65.913351,19.1643
SK-0095,Zemplínska Teplica Airfield,48.634375,21.576884
TR-0127,Medipol Mega University Hospital Heliport,41.05842,28.84335
UA-9868,Izmail International Airport,45.395959,28.801403
UGSB,Alexander Kartveli Batumi International Airport,41.60939,41.600315
UKDR,Kryvyi Rih International Airport,48.04330062866211,33.209999084472656
ULKS,Savvatiya Air Base,60.994998931884766,46.869998931884766
UWSB,Balakovo Airport,51.858299,47.745602
XK-0001,Ferizaj Airfield,42.346508,21.194129
XK-0009,Batlava-Donja Penduha Air Base,42.849898,21.221705
CZ-0115,Kněžmost Airstrip,50.478623,15.005508
CZ-0262,Louny Hospital Heliport,50.34897,13.80759
DE-0132,Wenzendorf Airfield,53.3374,9.7797
DE-0241,Wildberg Airfield,47.600278,9.741944
DE-0384,Kemnitz Heliport,54.0824235,13.5361492
DE-0555,Freising Clinic Heliport,48.4044,11.74402
EDSG,Grabenstetten Airfield,48.53611,9.436944
EDVL,Hölleberg Airfield,51.610881,9.398375
