rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon,measured
1,LFML,443.0,443.0,100.0,0.0,98.87133182844244,660.0,529.0,-295.0,-206.0,-126.0,24.0,54.0,-0.08181818181818182,-0.03636363636363636,0.19090909090909092,0.3159090909090909,0.45454545454545464,0.0,0.0,0.18181818181818182,0.22727272727272727,0.3181818181818182,0.0,0.0,0.08333333333333333,0.12121212121212122,0.1590909090909091,131.0,306.0,32.7313769751693,0.0,97.06546275395034,2.708803611738149,0.22573363431151242,444.0,444.0,100.0,0.0,99.77477477477478,300.0,191.0,50.50000000000002,84.0,109.0,134.0,174.0,0.16333333333333333,0.28,0.36333333333333334,0.44666666666666666,0.58,0.2,0.3,0.4,0.5,0.5,0.15,0.23333333333333334,0.2833333333333333,0.35,0.4166666666666667,109.0,174.0,0.6756756756756757,0.0,98.87387387387388,1.1261261261261262,0.0,99.77477477477478,apdf,444.0,100.0,0.18333333333333332,Marseille Provence Airport,43.438088,5.2125,yes
2,LPFR,399.0,399.0,100.0,0.0,99.49874686716792,600.0,180.0,-801.0,-631.0,-496.0,-228.5,-116.0,0.22614814814814815,0.3989583333333333,0.9537366548042705,1.0132140369209335,1.202925457102672,0.2,0.3333333333333333,0.5714285714285714,0.8235294117647058,0.9206153846153846,0.09960784313725492,0.1749403815580286,0.32142857142857145,0.5247997048281678,0.6443374120516686,501.0,801.0,1.0025062656641603,0.0,97.74436090225564,1.5037593984962405,0.7518796992481203,407.0,407.0,100.0,0.0,100.0,300.0,26.0,184.0,219.0,264.0,309.0,359.0,0.5553968253968254,0.6966666666666667,0.9583333333333334,1.03584229390681,1.2259952606635072,0.5833333333333334,0.75,0.9,1.0,1.0,0.3055555555555556,0.384375,0.5084745762711864,0.5590727816550349,0.5931793027116768,264.0,359.0,0.0,0.0,98.52579852579852,0.7371007371007371,0.7371007371007371,100.0,apdf,407.0,100.0,0.4149515738498789,Faro - Gago Coutinho International Airport,37.015909,-7.970939,yes
3,LMML,323.0,323.0,100.0,0.0,98.14241486068111,480.0,105.0,-944.0,-701.0,-506.0,-288.5,-161.99999999999994,0.3816666666666667,0.5870833333333334,0.930952380952381,1.4035714285714285,2.5375000000000005,0.375,0.5,0.7777777777777778,0.9444444444444444,1.0,0.26545454545454544,0.3787878787878788,0.5520833333333334,0.696969696969697,0.8166666666666667,521.0,1021.0000000000006,3.0959752321981426,3.0959752321981426,94.73684210526316,3.4055727554179565,1.8575851393188854,325.0,325.0,100.0,0.0,98.46153846153847,240.0,20.0,139.0,184.0,279.0,539.0,768.0000000000003,0.5791666666666667,0.7666666666666667,1.1729166666666666,2.2510416666666666,3.2312500000000015,0.625,0.875,1.0,1.0,1.0,0.3541666666666667,0.4583333333333333,0.5416666666666666,0.625,0.6666666666666666,294.0,814.0,2.4615384615384617,0.625,94.46153846153847,4.0,1.5384615384615385,98.46153846153847,apdf,325.0,100.0,0.546875,Malta International Airport,35.845932,14.491546,yes
4,EBCI,304.0,304.0,100.0,0.0,100.0,630.0,630.0,24.0,29.0,44.0,64.0,69.0,-0.12777777777777777,-0.10208333333333333,-0.06973443223443224,-0.04431818181818182,-0.03166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,69.0,99.67105263157895,0.0,98.02631578947368,1.9736842105263157,0.0,303.0,303.0,100.0,0.0,99.66996699669967,300.0,293.5,-31.0,-21.0,-6.0,9.0,19.0,-0.12,-0.07,-0.02,0.03,0.06333333333333334,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.02306547619047619,0.05,16.0,35.60000000000002,62.37623762376238,0.0,97.02970297029702,2.9702970297029703,0.0,100.0,apdf,304.0,100.0,0.0,Brussels South Charleroi Airport,50.461963,4.459562,yes
5,BIKF,284.0,284.0,100.0,0.0,99.29577464788733,840.0,780.0,-159.5,29.0,4551.5,4821.5,5093.0,-7.749986348122867,-6.174358974358975,-4.584803921568627,-0.03011239035087719,0.22878292939936798,0.0,0.0,0.0,0.09090909090909091,0.1917582417582418,0.0,0.0,0.0,0.04569568362671811,0.11577034883720934,4551.5,5093.0,84.15492957746478,0.0,34.859154929577464,64.78873239436619,0.352112676056338,285.0,285.0,100.0,0.0,99.29824561403508,300.0,234.0,-5756.0,-5476.0,-5271.0,4.0,124.0,-23.991666666666667,-18.985790754257906,-13.264285714285714,0.013333333333333334,0.4659378349410504,0.0,0.0,0.15384615384615385,0.3,0.42857142857142855,0.0,0.0,0.05555555555555555,0.12355982575418312,0.16788990825688072,5271.0,5756.0,72.98245614035088,0.0,35.08771929824562,64.56140350877193,0.3508771929824561,99.29824561403508,apdf,285.0,100.0,0.027777777777777776,Keflavik International Airport,63.985001,-22.6056,yes
6,LEZL,273.0,273.0,100.0,0.0,99.63369963369964,545.0,289.0,-675.4,-537.0,-354.0,-209.0,-7.399999999999977,0.021191093275367178,0.37466666666666665,0.6617842876165113,0.9330306469920545,1.1119533527696792,0.008000000000000115,0.12903225806451613,0.23529411764705882,0.32,0.4435555555555556,0.0026954177897574507,0.05102040816326531,0.1016260162601626,0.14824797843665768,0.21703078808854284,354.0,675.4000000000001,9.157509157509157,0.0,97.8021978021978,2.197802197802198,0.0,276.0,276.0,100.0,0.0,99.27536231884058,196.5,150.0,-11.0,1.75,7.0,137.0,176.5,-0.053281499627223346,0.007360177136296539,0.04176356589147287,0.7876899895178198,0.9939311120935653,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.0,0.019705882352941177,0.04683866438506428,0.10389819587628865,0.18954315135665253,13.5,176.5,22.82608695652174,0.0,95.28985507246377,4.3478260869565215,0.36231884057971014,99.63369963369964,apdf,276.0,100.0,0.07423234032261344,Seville Airport,37.417999,-5.89311,yes
7,EGAA,239.0,239.0,100.0,0.0,0.0,720.0,720.0,24.0,39.0,54.0,74.0,109.0,-0.1767857142857143,-0.11666666666666667,-0.08194444444444444,-0.05416666666666667,-0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,109.0,100.0,0.0,94.97907949790795,5.02092050209205,0.0,241.0,241.0,100.0,0.0,0.0,,,-140.0,-125.0,-107.0,-88.0,-35.0,,,,,,,,,,,,,,,,107.0,140.0,99.1701244813278,,96.2655601659751,3.7344398340248963,0.0,0.0,nm_inferred,241.0,100.0,,Belfast International Airport,54.6575012207,-6.21582984924,no
8,EGGP,208.0,208.0,100.0,0.0,0.0,600.0,88.0,-1290.8999999999996,-717.25,-606.0,-558.25,-424.8999999999997,0.6015,0.7163888888888889,1.0016666666666667,1.1301851851851852,2.1105,0.548888888888889,0.7,0.8666666666666667,1.0,1.0,0.4051851851851852,0.5395833333333333,0.6666666666666666,0.7833333333333333,0.8546296296296297,606.0,1389.0000000000014,0.4807692307692308,0.9615384615384616,90.86538461538461,7.6923076923076925,1.4423076923076923,198.0,198.0,100.0,0.0,0.0,,,145.5,186.5,222.5,268.0,332.3,,,,,,,,,,,,,,,,223.0,334.80000000000007,0.5050505050505051,,93.93939393939394,4.545454545454546,1.5151515151515151,0.0,nm_inferred,208.0,100.0,,Liverpool John Lennon Airport,53.334863,-2.849637,no
9,EGLC,198.0,198.0,100.0,0.0,100.0,360.0,254.0,-256.99999999999994,-186.0,-106.0,-71.0,-41.0,0.11816666666666668,0.21437499999999998,0.30583333333333335,0.4420386904761905,0.54,0.125,0.2,0.25,0.3333333333333333,0.4,0.06944444444444445,0.08333333333333333,0.125,0.16666666666666666,0.20833333333333334,106.0,257.0000000000002,1.5151515151515151,0.0,100.0,0.0,0.0,189.0,189.0,100.0,0.0,100.0,180.0,76.0,44.0,59.0,84.0,114.0,174.0,0.23523809523809525,0.36666666666666664,0.55,0.825,1.068888888888889,0.25,0.5,0.5,0.75,1.0,0.16666666666666666,0.25,0.3611111111111111,0.4722222222222222,0.625,84.0,174.0,2.1164021164021163,1.0582010582010581,98.94179894179894,1.0582010582010581,0.0,100.0,apdf,198.0,100.0,0.24305555555555555,London City Airport,51.505299,0.055278,yes
10,EHEH,191.0,191.0,100.0,0.0,0.0,600.0,320.0,-693.0,-561.0,-421.0,-233.5,-111.0,0.1622222222222222,0.3433333333333333,0.6183333333333333,0.7820833333333334,1.135,0.16666666666666666,0.25,0.35,0.45,0.6,0.09166666666666666,0.12222222222222222,0.18333333333333332,0.25795454545454544,0.325,421.0,693.0,0.0,0.0,96.8586387434555,1.5706806282722514,1.5706806282722514,190.0,190.0,100.0,0.0,0.0,,,250.9,285.25,325.5,380.0,462.2,,,,,,,,,,,,,,,,329.0,466.29999999999995,1.5789473684210527,,95.78947368421052,2.1052631578947367,2.1052631578947367,0.0,nm_inferred,191.0,100.0,,Eindhoven Airport,51.4500999451,5.37452983856,no
