icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LFAT,2.0,2.0,100.0,0.0,0.0,300.0,300.0,78.5,91.25,112.5,133.75,146.5,-0.4883333333333334,-0.44583333333333336,-0.375,-0.3041666666666667,-0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,146.5,100.0,0.0,100.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,,,-347.6,-324.5,-286.0,-247.5,-224.4,,,,,,,,,,,,,,,,286.0,347.6,100.0,,100.0,0.0,0.0,0.0,nm_inferred,2.0,100.0,,Le Touquet-Côte d'Opale Airport,50.518284,1.621656
LFBA,1.0,1.0,100.0,0.0,0.0,600.0,600.0,147.0,147.0,147.0,147.0,147.0,-0.245,-0.245,-0.245,-0.245,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,100.0,0.0,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,-370.0,-370.0,-370.0,-370.0,-370.0,,,,,,,,,,,,,,,,370.0,370.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Agen La Garenne airport,44.174171,0.59309
LFBD,224.0,224.0,100.0,0.0,0.0,480.0,150.0,-718.5,-620.0,-525.0,-303.75,-82.99999999999983,0.17291666666666666,0.5713541666666666,1.0322916666666666,1.2526041666666667,1.4895833333333333,0.1875,0.4,0.625,0.8125,0.9375,0.11458333333333333,0.21875,0.375,0.5416666666666666,0.6322916666666668,525.0,723.5000000000001,4.910714285714286,0.0,96.875,3.125,0.0,223.0,222.0,99.55156950672645,0.0,0.0,,,141.0,173.25,229.0,278.0,318.8,,,,,,,,,,,,,,,,231.0,325.70000000000005,1.8018018018018018,,96.8609865470852,2.690582959641256,0.0,0.0,nm_inferred,224.0,99.77578475336323,,Bordeaux–Mérignac Airport,44.82865,-0.715356
LFBE,14.0,14.0,100.0,0.0,0.0,900.0,900.0,53.0,75.0,87.5,93.75,122.50000000000003,-0.3,-0.2625,-0.13055555555555554,-0.09583333333333333,-0.07166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,122.50000000000003,100.0,0.0,100.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,,,-320.9,-157.5,-142.5,-120.75,-111.69999999999999,,,,,,,,,,,,,,,,142.5,320.9000000000002,100.0,,100.0,0.0,0.0,0.0,nm_inferred,14.0,100.0,,Bergerac Dordogne-Périgord airport,44.825298,0.518611
LFBH,17.0,17.0,100.0,0.0,0.0,720.0,720.0,190.0,205.0,240.0,305.0,332.0,-0.75,-0.6333333333333333,-0.46875,-0.3819444444444444,-0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,332.0,100.0,0.0,100.0,0.0,0.0,16.0,16.0,100.0,0.0,0.0,,,-710.0,-665.75,-578.0,-476.0,-447.0,,,,,,,,,,,,,,,,578.0,710.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,17.0,100.0,,La Rochelle Île de Ré Airport,46.179199,-1.19528
LFBI,4.0,4.0,100.0,0.0,0.0,900.0,900.0,180.5,196.25,207.5,216.25,227.5,-0.6183333333333333,-0.37083333333333335,-0.23055555555555557,-0.21805555555555556,-0.20055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.5,227.5,100.0,0.0,100.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,,,-717.6,-664.5,-498.0,-342.5,-309.2,,,,,,,,,,,,,,,,498.0,717.6,100.0,,100.0,0.0,0.0,0.0,nm_inferred,4.0,100.0,,Poitiers-Biard Airport,46.5877,0.306666
LFBL,20.0,20.0,100.0,0.0,0.0,600.0,600.0,183.5,208.75,247.5,317.5,367.50000000000017,-1.2249999999999999,-0.9583333333333333,-0.44166666666666665,-0.2652777777777778,-0.23277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5,367.50000000000017,100.0,0.0,100.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,,,-763.1,-639.75,-595.5,-531.5,-502.29999999999995,,,,,,,,,,,,,,,,595.5,763.1,100.0,,100.0,0.0,0.0,0.0,nm_inferred,20.0,100.0,,Limoges Airport,45.862801,1.17944
LFBN,2.0,2.0,100.0,0.0,0.0,600.0,600.0,-4031.5,-3328.75,-2157.5,-986.25,-283.4999999999999,0.47250000000000003,1.64375,3.595833333333333,5.547916666666667,6.719166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2342.5,4068.5,50.0,0.0,50.0,0.0,50.0,1.0,1.0,100.0,0.0,0.0,,,4315.0,4315.0,4315.0,4315.0,4315.0,,,,,,,,,,,,,,,,4315.0,4315.0,0.0,,0.0,0.0,100.0,0.0,nm_inferred,2.0,100.0,,Niort - Marais Poitevin Airport,46.313477,-0.394529
LFBO,262.0,262.0,100.0,0.0,98.47328244274809,600.0,242.5,-695.0,-595.0,-462.5,-265.0,-155.0,0.275625,0.45092592592592595,0.8466880341880342,0.9646990740740741,1.1320370370370372,0.22787878787878788,0.3534090909090909,0.5,0.6,0.7,0.09863636363636363,0.15653935185185186,0.2222222222222222,0.2916666666666667,0.37023809523809526,470.0,705.0,3.053435114503817,0.0,98.09160305343511,1.5267175572519085,0.3816793893129771,266.0,266.0,100.0,0.0,96.99248120300751,240.0,80.0,100.0,175.0,255.0,323.75,410.0,0.4375,0.8333333333333334,1.0416666666666667,1.1755952380952381,1.3333333333333333,0.2833333333333333,0.5,0.6666666666666666,0.8333333333333334,1.0,0.08333333333333333,0.15625,0.23333333333333334,0.3055555555555556,0.3652777777777779,257.5,415.0,1.8796992481203008,0.0,98.49624060150376,1.1278195488721805,0.37593984962406013,98.47328244274809,apdf,266.0,100.0,0.22777777777777777,Toulouse-Blagnac Airport,43.629101,1.36382
LFBP,12.0,12.0,100.0,0.0,0.0,600.0,600.0,-207.0,-168.75,17.5,45.0,63.00000000000001,-0.105,-0.075,-0.029166666666666667,0.28125,0.345,0.0,0.0,0.0,0.0625,0.14500000000000002,0.0,0.0,0.0,0.03333333333333333,0.04833333333333334,72.5,207.0,58.333333333333336,0.0,100.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,,,-27.799999999999997,-15.5,0.0,16.0,211.00000000000009,,,,,,,,,,,,,,,,16.0,260.8,50.0,,100.0,0.0,0.0,0.0,nm_inferred,12.0,100.0,,Pau Pyrénées Airport,43.380001,-0.418611
