rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
11,LIPX,141.0,141.0,100.0,0.0,0.0,900.0,,60.0,75.0,90.0,110.0,130.0,,,,,,,,,,,90.0,130.0,100.0,,97.16312056737588,2.8368794326241136,0.0,139.0,139.0,100.0,0.0,0.0,,,104.8,135.0,165.0,190.0,210.0,,,,,,,,,,,165.0,211.0,3.597122302158273,,98.56115107913669,1.4388489208633093,0.0,0.0,nm_inferred,141.0,100.0,,Verona Villafranca Valerio Catullo Airport,45.394955,10.887303
12,EBLG,128.0,128.0,100.0,0.0,0.0,840.0,,-546.0,-141.25,35.0,56.25,75.0,,,,,,,,,,,65.0,546.0,60.9375,,81.25,17.1875,1.5625,111.0,111.0,100.0,0.0,0.0,,,274.0,296.5,330.0,495.0,601.0,,,,,,,,,,,340.0,770.0,6.306306306306307,,68.46846846846847,30.63063063063063,0.9009009009009009,0.0,nm_inferred,128.0,100.0,,Liège Airport,50.638574,5.443897
13,LFOB,124.0,124.0,100.0,0.0,0.0,900.0,,40.0,50.0,70.0,85.0,107.00000000000003,,,,,,,,,,,70.0,107.00000000000003,100.0,,97.58064516129032,1.6129032258064515,0.8064516129032258,124.0,124.0,100.0,0.0,0.0,,,-20.79999999999999,123.5,145.0,166.25,215.4,,,,,,,,,,,147.0,224.7,12.096774193548388,,94.35483870967742,5.645161290322581,0.0,0.0,nm_inferred,124.0,100.0,,Beauvais-Tillé airport,49.454399,2.11278
14,OERK,95.0,95.0,100.0,0.0,0.0,0.0,,1642.6,6440.0,7177.0,10631.5,11700.2,,,,,,,,,,,7177.0,11700.2,100.0,,50.526315789473685,49.473684210526315,0.0,104.0,104.0,100.0,0.0,0.0,,,-10807.6,-9947.75,-6477.5,-5288.25,-3080.3999999999933,,,,,,,,,,,6477.5,10807.6,100.0,,67.3076923076923,31.73076923076923,0.9615384615384616,0.0,nm_inferred,104.0,100.0,,,,
15,KATL,83.0,83.0,100.0,0.0,0.0,600.0,,22623.0,23010.0,23520.0,23982.5,24307.0,,,,,,,,,,,23520.0,24307.0,100.0,,98.79518072289157,1.2048192771084338,0.0,99.0,99.0,100.0,0.0,0.0,,,-26380.4,-25749.5,-25206.0,-24808.5,-24257.6,,,,,,,,,,,25206.0,26380.4,100.0,,95.95959595959596,4.040404040404041,0.0,0.0,nm_inferred,99.0,100.0,,,,
16,LDZD,94.0,94.0,100.0,0.0,0.0,900.0,,120.0,140.0,165.0,185.0,223.5,,,,,,,,,,,165.0,228.5,96.80851063829788,,95.74468085106383,0.0,4.25531914893617,95.0,95.0,100.0,0.0,0.0,,,-157.6,-17.5,61.0,78.0,152.60000000000065,,,,,,,,,,,75.0,276.80000000000007,32.63157894736842,,96.84210526315789,0.0,3.1578947368421053,0.0,nm_inferred,95.0,100.0,,Zadar Airport,44.096986,15.353565
17,KLAX,93.0,93.0,100.0,0.0,0.0,600.0,,29799.0,30045.0,30280.0,30995.0,31953.0,,,,,,,,,,,30280.0,31953.0,100.0,,87.09677419354838,12.903225806451612,0.0,92.0,92.0,100.0,0.0,0.0,,,-34696.1,-33787.25,-33369.5,-33013.25,-32684.2,,,,,,,,,,,33369.5,34696.1,100.0,,89.1304347826087,10.869565217391305,0.0,0.0,nm_inferred,93.0,100.0,,,,
18,EHRD,92.0,92.0,100.0,0.0,0.0,600.0,,-2259.9,-1245.0,-712.5,-473.75,-335.99999999999994,,,,,,,,,,,727.5,2259.9000000000005,2.1739130434782608,,95.65217391304348,3.260869565217391,1.0869565217391304,87.0,87.0,100.0,0.0,0.0,,,444.8,491.0,541.0,605.5,1219.0000000000002,,,,,,,,,,,541.0,1219.0000000000002,0.0,,97.70114942528735,1.1494252873563218,1.1494252873563218,0.0,nm_inferred,92.0,100.0,,Rotterdam The Hague Airport,51.956902,4.43722
19,EDLW,86.0,86.0,100.0,0.0,0.0,840.0,,-1017.5,-758.75,-600.0,-475.0,-351.5,,,,,,,,,,,600.0,1017.5,2.3255813953488373,,95.34883720930233,3.488372093023256,1.1627906976744187,86.0,86.0,100.0,0.0,0.0,,,387.5,528.0,585.0,683.0,769.0,,,,,,,,,,,585.5,776.5,1.1627906976744187,,97.67441860465117,2.3255813953488373,0.0,0.0,nm_inferred,86.0,100.0,,Dortmund Airport,51.518299,7.61224
20,LIPH,85.0,85.0,100.0,0.0,0.0,600.0,,-5.0,10.0,25.0,40.0,50.0,,,,,,,,,,,25.0,50.0,87.05882352941177,,92.94117647058823,5.882352941176471,1.1764705882352942,85.0,85.0,100.0,0.0,0.0,,,264.0,295.0,325.0,345.0,364.20000000000005,,,,,,,,,,,325.0,364.20000000000005,1.1764705882352942,,100.0,0.0,0.0,0.0,nm_inferred,85.0,100.0,,Treviso Airport,45.648399,12.1944
21,ZSPD,83.0,83.0,100.0,0.0,0.0,600.0,,27655.8,29340.0,33741.0,34972.5,38995.0,,,,,,,,,,,33741.0,38995.0,100.0,,37.34939759036145,62.65060240963855,0.0,84.0,84.0,100.0,0.0,0.0,,,-32780.7,-31928.75,-27879.5,-26547.75,-24489.1,,,,,,,,,,,27879.5,32780.7,100.0,,47.61904761904762,52.38095238095238,0.0,0.0,nm_inferred,84.0,100.0,,,,
