rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
200,LTFJ,1146.0,1142.0,99.65095986038395,0.0,0.0,900.0,,20.0,35.0,55.0,75.0,139.50000000000045,,,,,,,,,,,,,,,,55.0,140.0,99.47460595446584,,86.47469458987784,13.089005235602095,0.08726003490401396,1163.0,1146.0,98.53826311263973,0.0,0.0,,,-20.0,175.0,225.0,250.0,275.0,,,,,,,,,,,,,,,,230.0,295.0,12.216404886561955,,88.65004299226139,9.888220120378332,0.0,0.0,nm_inferred,1163.0,99.09461148651184,,Istanbul Sabiha Gökçen International Airport,40.898602,29.3092
201,RJTT,55.0,54.0,98.18181818181819,0.0,0.0,600.0,,39293.0,42225.25,44822.5,45656.25,46654.0,,,,,,,,,,,,,,,,44822.5,46654.0,100.0,,74.54545454545455,23.636363636363637,0.0,50.0,50.0,100.0,0.0,0.0,,,-35818.3,-34865.75,-34315.0,-29739.5,-29423.2,,,,,,,,,,,,,,,,34315.0,35818.3,100.0,,46.0,54.0,0.0,0.0,nm_inferred,55.0,99.0909090909091,,,,
202,VABB,53.0,52.0,98.11320754716981,0.0,0.0,600.0,,16364.1,17508.0,18240.5,23965.75,24664.0,,,,,,,,,,,,,,,,18240.5,24664.0,100.0,,54.716981132075475,43.39622641509434,0.0,56.0,56.0,100.0,0.0,0.0,,,-21247.0,-20183.25,-19234.0,-17835.75,-16070.0,,,,,,,,,,,,,,,,19234.0,21247.0,100.0,,41.07142857142857,58.92857142857143,0.0,0.0,nm_inferred,56.0,99.0566037735849,,,,
203,OEJN,171.0,169.0,98.83040935672514,0.0,0.0,0.0,,4277.0,4470.0,5745.0,8822.0,9288.2,,,,,,,,,,,,,,,,5745.0,9288.2,100.0,,70.76023391812865,28.07017543859649,0.0,139.0,138.0,99.28057553956835,0.0,0.0,,,-9928.4,-8162.25,-6513.5,-5322.0,-5041.4,,,,,,,,,,,,,,,,6513.5,9928.4,100.0,,71.22302158273381,28.057553956834532,0.0,0.0,nm_inferred,171.0,99.05549244814674,,,,
204,EPKT,268.0,266.0,99.25373134328358,0.0,0.0,780.0,,15.0,25.0,35.0,58.75,1038.0,,,,,,,,,,,,,,,,35.0,1038.0,99.62406015037594,,78.35820895522389,20.52238805970149,0.373134328358209,260.0,257.0,98.84615384615384,0.0,0.0,,,-1475.0,165.0,215.0,240.0,260.0,,,,,,,,,,,,,,,,235.0,1475.0000000000002,20.622568093385215,,79.23076923076923,19.23076923076923,0.38461538461538464,0.0,nm_inferred,268.0,99.04994259471871,,Katowice Wojciech Korfanty International Airport,50.476015,19.080705
205,KDFW,52.0,51.0,98.07692307692308,0.0,0.0,1200.0,,24955.0,25265.0,25765.0,26795.0,27375.0,,,,,,,,,,,,,,,,25765.0,27375.0,100.0,,88.46153846153847,9.615384615384615,0.0,63.0,63.0,100.0,0.0,0.0,,,-31938.0,-29649.0,-29043.0,-28425.5,-27975.6,,,,,,,,,,,,,,,,29043.0,31938.0,100.0,,55.55555555555556,44.44444444444444,0.0,0.0,nm_inferred,63.0,99.03846153846155,,,,
206,HAAB,50.0,49.0,98.0,0.0,0.0,600.0,,10275.2,10553.0,11077.0,12698.0,13369.0,,,,,,,,,,,,,,,,11077.0,13369.0,100.0,,82.0,16.0,0.0,40.0,40.0,100.0,0.0,0.0,,,-13072.3,-11946.0,-10875.0,-10621.5,-10352.0,,,,,,,,,,,,,,,,10875.0,13072.300000000001,100.0,,82.5,17.5,0.0,0.0,nm_inferred,50.0,99.0,,,,
207,OBBI,42.0,42.0,100.0,0.0,0.0,840.0,,7448.0,7739.25,9489.0,11064.5,11742.1,,,,,,,,,,,,,,,,9489.0,11742.1,100.0,,21.428571428571427,78.57142857142857,0.0,50.0,49.0,98.0,0.0,0.0,,,-10820.6,-9727.0,-6732.0,-6066.0,-5865.8,,,,,,,,,,,,,,,,6732.0,10820.6,100.0,,88.0,10.0,0.0,0.0,nm_inferred,50.0,99.0,,,,
208,LTBJ,377.0,373.0,98.93899204244032,0.0,0.0,780.0,,80.0,100.0,120.0,170.0,244.00000000000006,,,,,,,,,,,,,,,,120.0,245.0,99.73190348525469,,89.65517241379311,9.018567639257295,0.26525198938992045,378.0,374.0,98.94179894179894,0.0,0.0,,,-483.2,-333.75,-235.0,-91.25,85.0,,,,,,,,,,,,,,,,237.5,485.0,86.63101604278074,,89.68253968253968,8.994708994708995,0.26455026455026454,0.0,nm_inferred,378.0,98.94039549211962,,Adnan Menderes International Airport,38.2924,27.157
209,EHRD,92.0,91.0,98.91304347826087,0.0,0.0,600.0,,-1680.0,-1120.0,-680.0,-467.5,-125.0,,,,,,,,,,,,,,,,715.0,1775.0,5.4945054945054945,,89.1304347826087,8.695652173913043,1.0869565217391304,96.0,95.0,98.95833333333333,0.0,0.0,,,438.6,507.0,538.0,577.0,1215.6000000000042,,,,,,,,,,,,,,,,545.0,2326.200000000006,6.315789473684211,,85.41666666666667,12.5,1.0416666666666667,0.0,nm_inferred,96.0,98.9356884057971,,Rotterdam The Hague Airport,51.956902,4.43722
210,CYYZ,163.0,163.0,100.0,0.0,0.0,0.0,,17624.0,17979.5,18675.0,19317.5,20252.0,,,,,,,,,,,,,,,,18675.0,20252.0,100.0,,92.02453987730061,7.975460122699387,0.0,184.0,180.0,97.82608695652173,0.0,0.0,,,-23300.9,-21792.0,-21173.5,-20468.25,-19905.2,,,,,,,,,,,,,,,,21173.5,23300.899999999998,100.0,,72.82608695652173,25.0,0.0,0.0,nm_inferred,184.0,98.91304347826087,,,,
211,LYBE,406.0,403.0,99.26108374384236,0.0,0.0,600.0,,-853.0,-640.0,-470.0,-262.5,-85.0,,,,,,,,,,,,,,,,490.0,964.0,4.714640198511166,,91.6256157635468,7.142857142857143,0.49261083743842365,411.0,405.0,98.54014598540147,0.0,0.0,,,346.20000000000005,452.0,542.0,635.0,704.0,,,,,,,,,,,,,,,,555.0,732.6000000000003,2.4691358024691357,,89.05109489051095,8.75912408759124,0.7299270072992701,0.0,nm_inferred,411.0,98.90061486462191,,Belgrade Nikola Tesla Airport,44.818401,20.309099
212,EBLG,105.0,105.0,100.0,0.0,0.0,900.0,,30.0,40.0,60.0,80.0,103.00000000000004,,,,,,,,,,,,,,,,60.0,103.00000000000004,100.0,,72.38095238095238,26.666666666666668,0.9523809523809523,88.0,86.0,97.72727272727273,0.0,0.0,,,-2332.5,259.5,285.5,300.0,327.5,,,,,,,,,,,,,,,,298.0,2332.5,16.27906976744186,,52.27272727272727,43.18181818181818,2.272727272727273,0.0,nm_inferred,105.0,98.86363636363637,,Liège Airport,50.638574,5.443897
213,OEMA,80.0,80.0,100.0,0.0,0.0,0.0,,3573.8,3793.75,4227.0,6332.0,8214.2,,,,,,,,,,,,,,,,4227.0,8214.2,100.0,,71.25,28.75,0.0,44.0,43.0,97.72727272727273,0.0,0.0,,,-7102.6,-4256.5,-4020.0,-3775.5,-3532.2,,,,,,,,,,,,,,,,4020.0,7102.600000000001,100.0,,81.81818181818181,15.909090909090908,0.0,0.0,nm_inferred,80.0,98.86363636363637,,,,
214,LTFH,44.0,43.0,97.72727272727273,0.0,0.0,600.0,,-39.99999999999999,37.5,355.0,2852.5,3137.0,,,,,,,,,,,,,,,,355.0,3137.0,88.37209302325581,,61.36363636363637,36.36363636363637,0.0,47.0,47.0,100.0,0.0,0.0,,,-2309.0,-1895.0,-1475.0,230.0,252.0,,,,,,,,,,,,,,,,1475.0,2308.9999999999995,63.829787234042556,,72.34042553191489,27.659574468085108,0.0,0.0,nm_inferred,47.0,98.86363636363637,,Samsun-Çarşamba Airport,41.253988,36.567546
215,EPRZ,43.0,42.0,97.67441860465117,0.0,0.0,300.0,,-418.4999999999999,-143.75,60.0,698.75,1037.0,,,,,,,,,,,,,,,,382.5,1037.0,54.76190476190476,,39.53488372093023,58.13953488372093,0.0,39.0,39.0,100.0,0.0,0.0,,,-1201.0,-935.0,-85.0,115.0,383.00000000000017,,,,,,,,,,,,,,,,515.0,1201.0,53.84615384615385,,41.02564102564103,58.97435897435897,0.0,0.0,nm_inferred,43.0,98.83720930232559,,Rzeszów-Jasionka Airport,50.109791,22.024155
