rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,dep_signal_p10,dep_signal_p25,dep_signal_p50,dep_signal_p75,dep_signal_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,arr_signal_p10,arr_signal_p25,arr_signal_p50,arr_signal_p75,arr_signal_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon,measured
1,EDDS,408.0,397.0,97.30392156862744,0.0,99.01960784313727,729.5,60.0,-2004.2,-1003.0,-791.0,-613.0,-411.0,0.8250617283950616,0.9049630411826821,0.9700149925037481,1.3894927536231885,2.9810178067371136,0.7658823529411765,0.875,0.9333333333333333,1.0,1.0,0.5887400031777978,0.6992230854605994,0.77502691065662,0.8455467869222096,0.8954701718907988,791.0,2004.2000000000012,0.5037783375314862,2.0151133501259446,94.6078431372549,1.7156862745098038,0.9803921568627451,413.0,401.0,97.09443099273608,0.0,99.75786924939467,245.5,10.0,164.0,196.0,250.0,338.0,467.0,0.7684522706209453,0.9672764227642277,1.020788070314043,1.1094899375433727,1.5488213017751482,0.7632352941176471,0.8888888888888888,1.0,1.0,1.0,0.6450982862903226,0.837511381743683,0.9557946557718171,0.9874199093608377,1.0,250.0,485.0,0.24937655860349128,51.75,94.91525423728814,1.694915254237288,0.48426150121065376,99.75786924939467,apdf,413.0,97.19917628068177,0.841172152728417,Stuttgart Airport,48.689899,9.22196,yes
2,ESSA,826.0,787.0,95.27845036319613,0.0,100.0,600.0,45.0,-1139.0,-770.0,-620.0,-535.0,-453.0000000000001,0.9166666666666666,0.9583333333333334,1.0,1.0833333333333333,1.4584415584415582,0.75,0.85,0.95,1.0,1.0,0.5596969696969697,0.6666666666666666,0.7708333333333334,0.8333333333333334,0.8707070707070707,620.0,1138.9999999999998,0.5082592121982211,0.5082592121982211,91.52542372881356,2.9055690072639226,0.847457627118644,837.0,798.0,95.3405017921147,0.0,99.8805256869773,360.0,15.0,265.0,315.0,400.0,550.0,700.0,1.0166666666666666,1.0625,1.130952380952381,1.2361111111111112,1.5299999999999998,1.0,1.0,1.0,1.0,1.0,0.7,0.7777777777777778,0.8928571428571429,0.9444444444444444,0.9833333333333333,400.0,705.0,0.2506265664160401,23.212045169385195,91.39784946236558,2.867383512544803,1.075268817204301,100.0,apdf,837.0,95.3094760776554,0.7928273382054967,Stockholm-Arlanda Airport,59.64849,17.928829,yes
3,EBBR,840.0,839.0,99.88095238095238,0.0,100.0,600.0,55.0,-1115.0,-857.5,-685.0,-570.0,-495.0,0.9268518518518519,0.9799679487179487,1.05,1.1760416666666667,1.448484848484849,0.7142857142857143,0.8333333333333334,0.95,1.0,1.0,0.575925925925926,0.6578703703703703,0.7291666666666666,0.7916666666666666,0.8428240740740741,685.0,1115.0,0.0,0.3575685339690107,94.88095238095238,4.523809523809524,0.47619047619047616,816.0,814.0,99.75490196078431,0.0,100.0,300.0,15.0,225.0,275.0,350.0,460.0,680.0,1.0,1.05,1.125,1.25,1.6763888888888896,1.0,1.0,1.0,1.0,1.0,0.6880681818181819,0.7708333333333334,0.8333333333333334,0.875,0.9027777777777778,350.0,690.5000000000007,0.12285012285012285,6.142506142506143,95.58823529411765,3.799019607843137,0.36764705882352944,100.0,apdf,840.0,99.81792717086834,0.7798275560224089,Brussels Airport,50.901402,4.48444,yes
4,LFPO,944.0,931.0,98.62288135593221,0.0,97.5635593220339,660.0,70.0,-1340.0,-882.5,-660.0,-540.0,-450.0,0.8125,0.92619825708061,0.9895833333333334,1.0921296296296297,1.7222222222222223,0.6363636363636364,0.75,0.9,1.0,1.0,0.45454545454545453,0.5495098039215687,0.6666666666666666,0.757260101010101,0.8148148148148148,665.0,1355.0,0.644468313641246,0.4296455424274973,96.71610169491525,1.8008474576271187,0.1059322033898305,933.0,920.0,98.60664523043944,0.0,100.0,300.0,20.0,235.0,290.0,365.0,490.0,776.0000000000002,0.9046703296703297,1.0138888888888888,1.1041666666666667,1.2291666666666667,1.542261904761905,0.7910714285714285,0.95,1.0,1.0,1.0,0.49157407407407405,0.6458333333333334,0.7916666666666666,0.8833333333333333,0.9375,370.0,800.5000000000001,0.5434782608695652,8.58695652173913,97.10610932475885,1.3933547695605573,0.10718113612004287,100.0,apdf,944.0,98.61476329318583,0.7190659823461467,Paris-Orly Airport,48.729499,2.358963,yes
5,EDDP,355.0,353.0,99.43661971830986,0.0,99.71830985915493,770.0,85.0,-1142.0,-885.0,-724.0,-620.0,-490.2,0.5593206833009613,0.8765432098765432,0.9623588456712673,1.0419580419580419,1.3489264316387668,0.5332068311195446,0.7,0.8888888888888888,0.9655172413793104,1.0,0.4210395903309289,0.5576208178438662,0.7035175879396984,0.7919254658385092,0.861456733908685,724.0,1142.0,0.28328611898017,2.54957507082153,89.01408450704226,9.577464788732394,0.8450704225352113,368.0,364.0,98.91304347826087,0.0,99.45652173913044,338.5,15.0,225.0,283.5,360.0,471.25,672.8,0.8573260073260073,0.9863024934383202,1.0625,1.1520833333333331,1.3666666666666667,0.8507142857142856,0.952922077922078,1.0,1.0,1.0,0.5604901201084852,0.6458333333333334,0.7166666666666667,0.8029234864918162,0.8849840510366828,360.0,685.1999999999998,0.27472527472527475,5.248618784530387,89.1304347826087,9.51086956521739,0.2717391304347826,99.71830985915493,apdf,368.0,99.17483159828537,0.7042326714456134,Leipzig/Halle Airport,51.420657,12.232705,yes
6,EETN,183.0,180.0,98.36065573770492,0.0,99.4535519125683,600.0,145.0,-845.5,-690.0,-545.0,-350.0,-244.00000000000006,0.6557765151515151,0.8496212121212121,0.9351851851851852,1.001602564102564,1.3778846153846152,0.5,0.625,0.729020979020979,0.875,1.0,0.35541666666666666,0.44401041666666663,0.5472222222222223,0.6666666666666666,0.7708333333333334,545.0,851.0,0.5555555555555556,0.5555555555555556,95.62841530054645,0.546448087431694,2.185792349726776,178.0,175.0,98.31460674157303,0.0,100.0,180.0,15.0,182.0,215.0,260.0,340.0,523.9999999999995,1.0183333333333333,1.1150793650793651,1.2291666666666667,1.4166666666666667,3.1277777777777778,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.8055555555555556,0.875,0.9319444444444445,0.9666666666666666,260.0,735.9999999999992,1.7142857142857142,16.0,96.06741573033707,1.1235955056179776,1.1235955056179776,100.0,apdf,183.0,98.33763123963897,0.6992898221485438,Lennart Meri Tallinn Airport,59.413246,24.83264,yes
7,EICK,108.0,108.0,100.0,0.0,100.0,540.0,130.0,-886.0,-695.0,-597.5,-530.0,-475.0,0.949375,0.9895833333333334,1.03125,1.1052083333333333,1.3458333333333332,0.6077777777777779,0.7107142857142857,0.8125,0.9375,1.0,0.4975,0.5600378787878788,0.6422619047619048,0.7083333333333334,0.7992424242424242,600.0,900.0,0.9259259259259259,0.0,99.07407407407408,0.9259259259259259,0.0,109.0,109.0,100.0,0.0,100.0,120.0,15.0,120.0,160.0,195.0,230.0,290.0,0.7388888888888889,1.2083333333333333,1.4583333333333333,1.625,2.1833333333333336,0.8333333333333334,1.0,1.0,1.0,1.0,0.5486111111111112,0.6666666666666666,0.7222222222222222,0.7916666666666666,0.838888888888889,195.0,290.0,0.0,2.7522935779816513,100.0,0.0,0.0,100.0,apdf,109.0,100.0,0.6822420634920635,Cork International Airport,51.841301,-8.49111,yes
8,EFHK,647.0,644.0,99.53632148377125,0.0,100.0,443.0,85.0,-755.0,-565.0,-430.0,-295.0,-200.0,0.5452274915743861,0.8881381381381381,1.0083241035580783,1.0836496746203905,1.265049879600964,0.5,0.6470588235294118,0.8333333333333334,1.0,1.0,0.37099740824345795,0.47427108113524863,0.5877410648208611,0.7146092132505176,0.8307849527702592,430.0,758.5000000000002,0.3105590062111801,1.8633540372670807,94.28129829984545,4.1731066460587325,1.0819165378670788,650.0,647.0,99.53846153846153,0.0,100.0,252.5,25.0,155.0,197.5,265.0,350.0,511.9999999999999,0.7986665740676436,0.8790376184974757,0.9744990892531876,1.1045695211786373,1.625,0.8,0.875,1.0,1.0,1.0,0.5981751972078198,0.6568260842728993,0.7276995305164319,0.8055555555555556,0.9166666666666666,270.0,580.0,2.009273570324575,5.873261205564142,92.92307692307692,5.230769230769231,1.3846153846153846,100.0,apdf,650.0,99.5373915111164,0.6546776277385209,Helsinki Vantaa Airport,60.318363,24.963341,yes
9,LHBP,542.0,537.0,99.07749077490774,0.0,99.2619926199262,645.0,110.0,-967.0,-715.0,-595.0,-500.0,-345.0,0.6802890310352998,0.8608058608058609,0.9342560553633218,1.0104166666666667,1.3110599078341014,0.48148148148148145,0.6111111111111112,0.7954545454545454,0.9230769230769231,1.0,0.3122554351223293,0.43733681462140994,0.5668358714043993,0.6913827655310621,0.7788617886178862,595.0,967.0000000000002,0.0,0.186219739292365,92.98892988929889,4.981549815498155,1.1070110701107012,542.0,535.0,98.70848708487085,0.0,99.44649446494465,236.0,25.0,150.0,185.0,230.0,310.0,455.0,0.7234776228906824,0.9034485251590515,1.003863409770688,1.0899140752864156,1.2329946524064173,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,0.46828514275322786,0.5740228699971881,0.6928691746209994,0.7734806629834253,0.8639371657754011,235.0,503.0000000000001,2.616822429906542,3.007518796992481,88.92988929889299,8.85608856088561,0.922509225092251,99.44649446494465,apdf,542.0,98.8929889298893,0.6228799858575772,Budapest Liszt Ferenc International Airport,47.43018,19.262393,yes
10,LSZH,1129.0,1126.0,99.73427812223207,0.0,99.46855624446412,706.0,120.0,-2168.5,-1030.0,-733.5,-555.25,-378.0,0.7125829200344798,0.9112618670993773,0.9689703808180536,1.2207354299084692,3.0765731003836496,0.5477272727272727,0.6785714285714286,0.8148148148148148,0.9230769230769231,1.0,0.3521241830065359,0.446116668215345,0.5586824439112203,0.6760910500664599,0.7468825994722409,733.5,2168.5,0.0,0.0,96.10274579273694,3.2772364924712134,0.354295837023915,1099.0,1098.0,99.90900818926296,0.0,100.0,320.0,30.0,209.7,261.0,338.0,470.0,722.0,0.8268967782389298,0.9315173854995066,0.9909937888198759,1.113656909169178,2.016296008836085,0.75,0.8471153846153846,0.9230769230769231,1.0,1.0,0.4212596096984033,0.5217988533205924,0.6640304079701328,0.7643312101910829,0.8249158249158249,338.0,722.0,0.09107468123861566,1.0018214936247722,94.44949954504095,5.095541401273885,0.36396724294813465,100.0,apdf,1129.0,99.82164315574752,0.610266029912234,Zürich Airport,47.458056,8.548056,yes
