icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LZPP,2.0,2.0,100.0,0.0,0.0,600.0,45.0,46.5,49.0,51.5,53.0,,,,,,49.0,53.0,100.0,,100.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,,258.2,263.0,271.0,293.0,306.2,,,,,,271.0,306.2,0.0,,100.0,0.0,0.0,0.0,nm_inferred,3.0,100.0,,Piešťany Airport,48.62519836425781,17.828399658203125
LZTT,4.0,4.0,100.0,0.0,0.0,630.0,106.5,117.75,134.0,144.0,144.0,,,,,,134.0,144.0,100.0,,100.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,,-126.1,-30.25,71.5,123.5,129.8,,,,,,127.0,173.20000000000002,25.0,,75.0,0.0,25.0,0.0,nm_inferred,4.0,100.0,,Poprad-Tatry Airport,49.070994,20.241394
MDLR,3.0,3.0,100.0,0.0,0.0,600.0,24145.8,24163.5,24193.0,24616.0,24869.8,,,,,,24193.0,24869.8,100.0,,100.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,,-23455.6,-23138.5,-22610.0,-22536.0,-22491.6,,,,,,22610.0,23455.6,100.0,,33.333333333333336,66.66666666666667,0.0,0.0,nm_inferred,3.0,100.0,,,,
MDPC,8.0,8.0,100.0,0.0,0.0,600.0,23544.9,23657.25,24047.5,24784.75,25284.4,,,,,,24047.5,25284.4,100.0,,100.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,,-25404.8,-24878.5,-24519.0,-23950.5,-22534.6,,,,,,24519.0,25404.8,100.0,,80.0,20.0,0.0,0.0,nm_inferred,15.0,100.0,,,,
MDSD,8.0,8.0,100.0,0.0,0.0,600.0,23698.6,23794.0,24375.0,24811.0,25584.7,,,,,,24375.0,25584.7,100.0,,87.5,12.5,0.0,7.0,7.0,100.0,0.0,0.0,,-24559.0,-24021.0,-23677.0,-23368.5,-22954.6,,,,,,23677.0,24559.0,100.0,,42.857142857142854,57.142857142857146,0.0,0.0,nm_inferred,8.0,100.0,,,,
MDST,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,0.0,0.0,,-23214.0,-23214.0,-23214.0,-23214.0,-23214.0,,,,,,23214.0,23214.0,100.0,,0.0,100.0,0.0,0.0,nm_inferred,1.0,100.0,,,,
MGGT,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,100.0,0.0,0.0,,-33842.6,-33650.0,-33329.0,-33307.5,-33294.6,,,,,,33329.0,33842.6,100.0,,33.333333333333336,66.66666666666667,0.0,0.0,nm_inferred,3.0,100.0,,,,
MHLM,1.0,1.0,100.0,0.0,0.0,600.0,31421.0,31421.0,31421.0,31421.0,31421.0,,,,,,31421.0,31421.0,100.0,,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,nm_inferred,1.0,100.0,,,,
MHPR,1.0,1.0,100.0,0.0,0.0,600.0,30685.0,30685.0,30685.0,30685.0,30685.0,,,,,,30685.0,30685.0,100.0,,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,-30773.0,-30773.0,-30773.0,-30773.0,-30773.0,,,,,,30773.0,30773.0,100.0,,0.0,100.0,0.0,0.0,nm_inferred,1.0,100.0,,,,
MKJP,2.0,2.0,100.0,0.0,0.0,600.0,26056.5,26084.25,26130.5,26176.75,26204.5,,,,,,26130.5,26204.5,100.0,,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,-28717.0,-28717.0,-28717.0,-28717.0,-28717.0,,,,,,28717.0,28717.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,2.0,100.0,,,,
